student ID	Q#	answer	judge1	judge2	final judge
1	1	钻石硬度大	2	2	2
2	1	钻石硬度比玻璃高	2	2	2
3	1	因为钻石很硬	1	1	1
4	1	因为钻石的硬度比玻璃高	2	2	2
5	1	因为钻石比玻璃硬。	2	2	2
6	1	硬度大	1	1	1
7	1	因为钻石硬度比玻璃大	2	2	2
8	1	钻石硬度足够大。	2	2	2
9	1	硬度大	1	1	1
10	1	因为钻石的硬度大于玻璃	2	2	2
11	1	硬度大	1	1	1
12	1	因为钻石是世界上最坚硬的物质。	2	2	2
13	1	钻石的硬度比较大	2	2	2
14	1	因为钻石很坚硬并且晶体结构稳定	1	1	1
15	1	因为钻石硬度高于玻璃	2	2	2
16	1	钻石的硬度比玻璃的硬度高	2	2	2
17	1	因为钻石的硬度高	1	1	1
18	1	钻石坚硬	1	1	1
19	1	因为钻石的硬度比玻璃大。	2	2	2
20	1	钻石硬度大于玻璃	2	2	2
21	1	因为钻石比玻璃更坚固，硬度高。	2	2	2
22	1	因为钻石硬。	1	1	1
23	1	钻石硬度更高	2	2	2
24	1	硬度大	1	1	1
25	1	钻石的硬度比玻璃大	2	2	2
26	1	因为钻石是最硬的物质。	2	2	2
27	1	钻石的硬度比玻璃高。	2	2	2
28	1	因为钻石硬度比玻璃大	2	2	2
29	1	因为钻石比玻璃硬度高	2	2	2
30	1	钻石的硬度和强度大	1	1	1
31	1	钻石的硬度较高	2	2	2
32	1	因为钻石硬度比玻璃硬度大	2	2	2
33	1	因为钻石比玻璃的硬度更大	2	2	2
34	1	因为钻石硬度大过玻璃	2	2	2
35	1	钻石硬度大	1	1	1
36	1	钻石硬度最大	2	2	2
37	1	钻石的硬度比玻璃大	2	2	2
38	1	钻石硬度高	1	1	1
39	1	钻石比玻璃硬	2	2	2
40	1	钻石硬度最大	2	2	2
41	1	钻石的硬度是最硬的	2	2	2
42	1	钻石硬度高	1	1	1
43	1	钻石硬度非常高	1	1	1
44	1	钻石的硬度大于玻璃	2	2	2
45	1	因为钻石的硬度大于玻璃。	2	2	2
46	1	钻石的硬度比玻璃大	2	2	2
47	1	钻石的硬度大。	2	2	2
48	1	因为钻石的硬度很大且可打磨的十分锋利。	2	2	2
49	1	钻石的硬度比玻璃高很多	2	2	2
50	1	钻石的硬度比玻璃高	2	2	2
51	1	钻石硬度很高。	1	1	1
52	1	因为钻石硬度大。	1	1	1
53	1	因为钻石的硬度比玻璃高。	2	2	2
54	1	因为钻石的硬度大。	2	2	2
55	1	钻石的硬度是最硬的	2	2	2
56	1	钻石的硬度高于玻璃	2	2	2
57	1	因为钻石的硬度比较大	2	2	2
58	1	钻石硬度比玻璃大	2	2	2
59	1	因为钻石的硬度比玻璃大	2	2	2
60	1	钻石是自然界硬度最大的材料，硬度比玻璃大	2	2	2
61	1	硬度大	1	1	1
62	1	*	0	0	0
63	1	因为钻石足够硬	2	2	2
64	1	因为钻石硬度大于玻璃。	2	2	2
65	1	钻石硬度比玻璃大，可以切断玻璃	2	2	2
66	1	硬度高	1	1	1
67	1	金刚石的硬度大	1	1	1
68	1	钻石硬度比玻璃大	2	2	2
69	1	钻石硬度大	1	1	1
70	1	钻石的硬度远高于玻璃的硬度	2	2	2
71	1	因为钻石是金刚石，硬度很大	1	1	1
72	1	因为硬度大	1	1	1
73	1	因为钻石的成分为金刚石，比玻璃的硬度大。	2	2	2
74	1	钻石是金刚石，硬度大	1	1	1
75	1	*	0	0	0
76	1	钻石硬度比玻璃大很多	2	2	2
77	1	因为钻石硬度大于玻璃。	2	2	2
78	1	因为钻石硬度很大。	1	1	1
79	1	因为钻石硬度大。	1	1	1
80	1	钻石硬度比较大	2	2	2
81	1	钻石硬度强于玻璃。	2	2	2
82	1	硬度极高	1	1	1
83	1	因为钻石的硬度比玻璃大。	2	2	2
84	1	因为钻石的硬度比玻璃大。	2	2	2
85	1	因为钻石硬度比玻璃更大。	2	2	2
86	1	因为钻石的硬度很大。	1	1	1
87	1	钻石的硬度比玻璃高。	2	2	2
88	1	钻石的硬度比玻璃大	2	2	2
89	1	硬	1	1	1
90	1	钻石坚硬且锋利，可以很好的切割。	1	1	1
91	1	硬度大	1	1	1
92	1	*	0	0	0
93	1	硬度高	2	1	1
94	1	钻石硬度高	2	2	1
95	1	钻石的硬度比玻璃大	2	2	2
96	1	因为钻石硬度比玻璃大	2	2	2
97	1	钻石的硬度大	1	1	1
98	1	钻石的硬度大	1	1	1
99	1	应该是钻石硬度大	1	1	1
100	1	钻石的硬度大	1	1	1
101	1	硬度大	1	1	1
102	1	钻石属于金刚石，硬度比玻璃大	2	2	2
103	1	因为钻石硬度非常大。	1	1	1
104	1	因为硬度大	1	1	1
105	1	钻石的硬度大	1	1	1
106	1	因为钻石比较坚硬。	1	1	1
107	1	钻石硬度比玻璃大	2	2	2
108	1	钻石相对玻璃硬度要大好多。	2	2	2
109	1	钻石硬度比玻璃大很多	2	2	2
110	1	金刚石坚硬且人工成本适中	1	1	1
111	1	硬度大	1	1	1
112	1	钻石比玻璃硬度大	2	2	2
113	1	钻石的本质是金刚石，硬度大。	1	1	1
114	1	因为钻石的硬度比较大	2	2	2
115	1	因为钻石硬度比较大	2	2	2
116	1	钻石硬度高	1	1	1
117	1	因为钻石具有较高的硬度。	2	2	2
118	1	因为钻石够硬	1	1	1
119	1	因为钻石的硬度最高，可以轻易切割玻璃	2	2	2
120	1	钻石硬度大于玻璃硬度。	2	2	2
121	1	钻石比玻璃硬度大	2	2	2
122	1	钻石硬度大	1	1	1
123	1	因为钻石的硬度比玻璃大。	2	2	2
124	1	钻石硬度大于玻璃	2	2	2
125	1	钻石硬度远大于玻璃	2	2	2
126	1	因为钻石的硬度高于玻璃	2	2	2
127	1	硬	1	1	1
128	1	因为钻石的硬度比玻璃高很多	2	2	2
129	1	钻石高硬度，高强度，低摩擦系数。	1	1	1
